File name,Updated in Zotero,Updated PDF in Drive,Data input,Region,Age,Photo input,Backward citation searching,OccurenceRecord,SystematicPaleontogy ,Images,BodySize,Specimen,Environment,DatabaseVersion,Remarks
Alexander_1934_Ostracoda of the Midway (Eocene) of Texas.pdf,2026-4-20,2025-11-30,2025-11-30,"Louisiana, Texas",na,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
"Ayress_1995_Late Eocene Ostracoda (Crustacea) from the Waihao District, South Canterbury, New Zealand.pdf",2026-4-20,2025-11-30,2025-11-30,"Waihao district, south Canterbury, New Zealand",Late,2026-2-27,todo,Y,Y,Y,Y,Y,"Deep_Outer shelf to upper slope,within the photic zone, a maximum lower depth limit of approximately 500 m",EMO_Sandbox,
Barker_1974_Eocene Ostracodes from the Fawley Transmission Tunnel.pdf,2026-4-20,2025-12-04,2025-12-04,"Fawley Tunnel, Hampshire, UK",Middle,na_no SEM,todo,Y,N,N,N,N,"Shallow and Deep_from earliest to latest are deltaic or estuarine, shallow water marine conditions, and deeper , less oxygenated conditions",EMO_Sandbox,
"Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf",2026-4-20,2025-12-03,2025-12-03,"Fayoum area, Egypt",Middle and Late,2026-3-1,todo,Y,N,Y_selected,N,N,"Shallow_inner to outer neritic (first ecozone), inner-middle neritic (second ecozone), and shallow water(third ecozone)",EMO_Sandbox,
Bergue_Govindan_2010_Eocene-Pliocene deep sea ostracodes from ODP site 744A.pdf,2026-4-20,2025-11-30,2025-11-30,"Kerguelen Plateau, Indian Ocean",Late,2026-3-1,todo,Y,Y,Y,Y,Y,Deep,EMO_Sandbox,
"Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf",2026-4-20,2025-12-09,2025-12-09,"Jaisalmer Basin, Rajasthan",Late,todo,todo,Y,Y,Y,Y,Y,"Shallow_warm, shallow inner shelf",EMO_Sandbox,
"Blake_1950_Gosport Eocene Ostracoda from Little Stave Creek, Alabama.pdf",2026-4-20,2025-12-07,2025-12-07,"Little Stave Creek, Clarke County, Alabama, USA",Middle,todo,todo,Y,Y,Y,Y,N,marine,EMO_Sandbox,
Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf,2026-4-20,2025-12-10,2025-12-10,"Loire-Atlantque, France",Middle_Bartonien,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf,2026-4-20,2025-12-11,2025-12-11,Northern part of Senegal ,Early,todo,todo,Y,Y,Y_handwriting,Y,N,Shallow_marine or euryhaline,EMO_Sandbox,
Cheetham_1952_Some Wilcox (Eocene) Species of the Ostracode Genus Cytherideis.pdf,2026-4-20,2025-12-05,2025-12-05,"Gulf coast Wilcox units in Alabama state, USA",na,todo,todo,Y,Y,Y_handwriting,Y,N,na,EMO_Sandbox,
