# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
1											Acanthocythereis denticulata	Esker,1968		4,a-b							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
2											Argilloecia kussi	Bassiouni and Morsi, 2000		3,j-k							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
3											Bairdia aegyptiaca	Bassiouni and Morsi, 2000		3,f							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
4											Bairdia aff. septentrionalis	Bonnema, 1941		3,h							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
5											Bairdia ilaroensis	Reyment and Reyment, 1959		3,g							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
6											Cytherella dorsodepressa	Morsi, Hewaidy and 		3,a-b							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
7											Cytherella piacabucuensis farafraensis	Bassiouni and Morsi, 2000		3,c-d							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
8											Cytherelloidea attiyaensis	Morsi, 1999		3,e							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
9											Cytheropteron toshkaensis	Bassiouni and Luger, 1990		3,l-m							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
10											Doricythereis jordanica jordanica	Bassiouni, 1970		4,c-e							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
11											Krithe echolsae	Esker,1968		3,n-o							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
