# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Abrocythereis acrocaudalis 		445/446/488	N									
Absonocytheropteron watervalleyensis		812	Y_unaccepted_misspelling		Absonocytheropteron watervalleyense	Podocopida	Cytheruridae 	Absonocytheropteron	Absonocytheropteron watervalleyense	Krutak, 1961	Krutak, P.R. (1961a) Jackson Eocene Ostracoda from the Cocoa Sand of Alabama. Journal of Paleontology 35, 769–788.	
Acanthocythereis bhujensis		726/890/975/965	N									
Acanthocythereis decoris		335	N									
Acanthocythereis denticulata		1	Y_unaccepted_superseded combination			Podocopida	Trachyleberididae	Acanthocythereis	Acanthocythereis denticulata	Esker, 1968	Esker III, G. (1968). Danian ostracodes from Tunisia. Micropaleontology. 14(3):319-333.	
Acanthocythereis meslei		678/930(subspecies_Acanthocythereis meslei paleocenica )	Y_subspecies is not included(930)		Acanthocythereis meslei	Podocopida	Trachyleberididae	Acanthocythereis	Acanthocythereis meslei	Donze & Oertli, 1982	"Donze, P.; Colin, J.-P.; Damotte, R.; Oertli, H. J.; Peypouquet, J.-P.; Said, R. (1982). Les ostracodes du Campanien terminal a l'Eocene inferieur de la Coupe du Kef, Tunisie nord-occidentale. Bulletin du Centre de Recherches et Exploration-Production Elf-Aquitaine. 6(2): 273-335. [details] 
"	
Acanthocythereis olympiana		440	N									
Acanthocythereis salahii		83/84	Y	772411.0	Acanthocythereis salahii	Podocopida	Trachyleberididae	Acanthocythereis	Acanthocythereis salahii	Bassiouni, 1969	Bassiouni, M.A. (1969a) Ostracoden aus dem Eozaen von aegypten. 1. Trachyleberidinae. Geologisches Jahrbuch 87, 383–462. 	
Acanthocythereis sp.		429/254	Na_sp.									
Acanthocythereis spiniferrima		515/288	Y	772415.0	Acanthocythereis spiniferrima	Podocopida	Trachyleberididae	Acanthocythereis	Acanthocythereis spiniferrima	Jones & Sherborn, 1889	Jones, T. R.; Sherborn, C. D. (1889). A supplementary monograph of the Tertiary Entomostraca of England. Monograph of the Palaeontographical Society London. 42: 1-55.	
Acanthocythereis volubilis		447/448/487	N									
Actinocyhtereis microagrenon		91	Y_unaccepted_superseded original combination	774228.0	Ayressoleberis microagrenon (Ayress, 1995)	Podocopida	Trachyleberididae	Ayressoleberis 	Ayressoleberis microagrenon	Ayress, 1995	Ayress, M. A. 1995. Late Eocene Ostracoda from the Waihao district, South Canterbury, New Zealand. Journal of Paleontology, 69, 897-921.	
Actinocythereis howei		789	Y	772707.0	Actinocythereis howei (Marianos & Valentine, 1958)	Podocopida	Trachyleberididae	Actinocythereis 	Actinocythereis howei	Marianos & Valentine, 1958	Actinocythereis howei Marianos & Valentine, 1958	
Actinocythereis indigena		498	Y									
Agrenocythere ordinata		382	N									
Agrenocythere sp.		386	Na_sp.									
Alciella irizukii		400	Y	1542320.0	Alciella irizukii (Yasuhara, Hong, Tian, Chong, Okahashi, Littler & Cotton, 2018)	Podocopida	Hemicytheridae 	Alciella	Alciella irizukii	Yasuhara, Hong, Tian, Chong, Okahashi, Littler & Cotton, 2018		Yasuhara, M.; Hong, Y.; Tian, S. Y.; Chong, W. K.; Okahashi, H.; Littler, K.; Cotton, L. (2018). Eocene shallow-marine ostracods from Madagascar: southern end of the Tethys?. Journal of Systematic Palaeontology. 17(9): 705-757.
Alocopocythere bhandarii		766	N									
Alocopocythere dhansariensis		767	N									
Alocopocythere polygona		769	N									
Alocopocythere talukdari		768	N									
Alocopocythere transcendens		882/727	Y	773060.0	Alocopocythere transcendens (Siddiqui, 1971)	Podocopida	Trachyleberididae 	Alocopocythere	Alocopocythere transcendens	Siddiqui, 1971	Siddiqui, Q.A. (1971a) Early Tertiary Ostracoda of the family Trachyleberididae from West Pakistan. Bulletin of the British Museum (Natural History).Geology Suppl. 9, 1–98.	
Alocopocythere transversa 		330	Y	773061.0	Alocopocythere transversa (Siddiqui, 1971)	Podocopida	Trachyleberididae 	Alocopocythere	Alocopocythere transversa	Siddiqui, 1971	Siddiqui, Q.A. (1971a) Early Tertiary Ostracoda of the family Trachyleberididae from West Pakistan. Bulletin of the British Museum (Natural History).Geology Suppl. 9, 1–98.	
Ambostracon irizukii		438	N									
Ambtonia matsubarai		449/490	N									
Anebocythereis hostizea		92/317	Y	598963.0	Anebocythereis hostizea (Hornibrook, 1952)	Podocopida	Trachyleberididae 	Anebocythereis	Anebocythereis hostizea	Hornibrook, 1952	Hornibrook, N. B. (1952). Tertiary and recent marine Ostracoda of New Zealand, their origin affinities and distribution. New Zealand Geological Survey, Paleontological Bulletin. 18: 1-82.	
Anticythereis arcana		677	Y	1710648.0	Sthenarocythereis arcana (Bertels, 1975)	Podocopida	Trachyleberididae 	Sthenarocythereis 	Sthenarocythereis arcana 	Bertels, 1975	Bertels, A. (1975). Upper Cretaceus (Middle Maastrichtian) ostracodes of Argentina. Micropaleontology, 21 (1), 97-130	
Anticythereis heluanensis		267	Y_unaccepted_superseded combination	799102.0	Anticythereis heluanensis (Bassiouni, 1969) Cronin & Khalifa, 1980 	Podocopida	Trachyleberididae 	Anticythereis	Anticythereis heluanensis 	Bassiouni, 1969	Lack of original description?	No accepted name?
Anticythereis memorans		840/841(subspecies_Anticythereis memorans mudhensis)										
Anticythereis saidi		265	Y	773518.0	Anticythereis saidi (Cronin & Khalifa, 1980) 	Podocopida	Trachyleberididae 	Anticythereis	Anticythereis saidi 	Cronin & Khalifa, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411.	
Anticythereis seylingi		266	Y	773519.0	Anticythereis seylingi (Cronin & Khalifa, 1980)	Podocopida	Trachyleberididae 	Anticythereis	Anticythereis seylingi	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411		
Anticythereis sp.		268	Na_sp.									
Arcacythere eocenia		93	Y	598932.0	Arcacythere eocenica (Whatley, Uffenorde, Harlow, Downing & Kesler, 1982)	Podocopida	Pectocytheridae 	Arcacythere 	Arcacythere eocenica 	Whatley, Uffenorde, Harlow, Downing & Kesler, 1982	Whatley, R.C., Uffenorde, H., Harlow, C., Downing, S. and Kesler, K. (1982a) The Rockalliidae, a new family of Cainozoic Cytheracean Ostracoda. Journal of Micropalaeontology 1, 1–11.	
Archicythereis howei		842	Y_unaccepted_new combination	799168.0	Archicythereis howei (Khosla, 1973)	Podocopida	Trachyleberididae 	Archicythereis	Archicythereis howei 	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	No accepted name?/The original description is 1972, yet the identifier is 1983?
Archicythereis yazooensis		805	Y	773727.0	Archicythereis yazooensis (Howe & Chambers, 1935)	Podocopida	Trachyleberididae 	Archicythereis 	Archicythereis yazooensis	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Argilloecia acuticaudata		94	Y	598968.0	Argilloecia acuticaudata (Whatley & Downing, 1984)	Podocopida	Pontocyprididae	Argilloecia 	Argilloecia acuticaudata	Whatley & Downing, 1984	Whatley, R. C.; Downing, S. (1983). Middle Miocene Ostracoda from Victoria, Australia. Revista Espanola de Micropaleontologia. 15 (3), 347-407.	
