# Eocene Marine Ostracod Database (EMO)
# ------------------------------------------------------------
# World Data Service for Paleoclimatology, Boulder
# and NOAA Paleoclimatology Program
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# ------------------------------------------------------------
# Online_Resource: https://github.com/nekoangel118/EMO-Database
# Description: EMO Database (tab-delimited data)
# Data_Type: Paleoceanography
# Dataset_DOI: [to be assigned]
# Parameter_Keywords: Taxonomy, Occurrence, Environment
# ------------------------------------------------------------
# Contribution_Date: 2026-04-25
# File_Last_Modified_Date: 2026-04-25
# ------------------------------------------------------------
# Title
# Study_Name: Eocene Marine Ostracod Database (EMO)
# ------------------------------------------------------------
# Investigators: Zhang, J.
# ------------------------------------------------------------
# Description
# The EMO database compiles Eocene marine ostracod taxonomy, occurrence records,
# and reference metadata from published literature spanning Early to Late Eocene localities worldwide.
# ------------------------------------------------------------
# Summary
# Total taxa: 743
# Total references: 43
# Geographic coverage: Fawley Tunnel, Hampshire, UK, Fayoum area, Egypt, Jaisalmer Basin, Rajasthan, Kerguelen Plateau, Indian Ocean, Little Stave Creek, Clarke County, Alabama, USA, Loire-Atlantque, France, Louisiana, Texas, Waihao district, south Canterbury, New Zealand...
# ------------------------------------------------------------
# Data_Table
# (tab-delimited columns from EMO CSVs)
Reference	Region	Age	Environment
Alexander_1934_Ostracoda of the Midway (Eocene) of Texas.pdf	Louisiana, Texas	na	na
Ayress_1995_Late Eocene Ostracoda (Crustacea) from the Waihao District, South Canterbury, New Zealand.pdf	Waihao district, south Canterbury, New Zealand	Late	Deep_Outer shelf to upper slope,within the photic zone, a maximum lower depth limit of approximately 500 m
Barker_1974_Eocene Ostracodes from the Fawley Transmission Tunnel.pdf	Fawley Tunnel, Hampshire, UK	Middle	Shallow and Deep_from earliest to latest are deltaic or estuarine, shallow water marine conditions, and deeper , less oxygenated conditions
Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	Fayoum area, Egypt	Middle and Late	Shallow_inner to outer neritic (first ecozone), inner-middle neritic (second ecozone), and shallow water(third ecozone)
Bergue_Govindan_2010_Eocene-Pliocene deep sea ostracodes from ODP site 744A.pdf	Kerguelen Plateau, Indian Ocean	Late	Deep
Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf	Jaisalmer Basin, Rajasthan	Late	Shallow_warm, shallow inner shelf
Blake_1950_Gosport Eocene Ostracoda from Little Stave Creek, Alabama.pdf	Little Stave Creek, Clarke County, Alabama, USA	Middle	marine
Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf	Loire-Atlantque, France	Middle_Bartonien	na
Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	Northern part of Senegal 	Early	Shallow_marine or euryhaline
Cheetham_1952_Some Wilcox (Eocene) Species of the Ostracode Genus Cytherideis.pdf	Gulf coast Wilcox units in Alabama state, USA	na	na
